"F1-10"	"F1-11"	"F1-12"	"F1-13"	"F1-14"	"F1-15"	"F1-16"	"F1-17"	"F1-18"	"F1-19"	"F1-20"	"F1-21"	"F1-22"	"F1-7"	"F1-8"	"F1-9"	"F3-10"	"F3-11"	"F3-12"	"F3-7"	"F3-8"	"F3-9"
"Anaerocolumna sedimenticola"	2.98161849856435	2.61957020340322	3.3273855267988	3.14947368190405	2.79565448982112	2.79329929269279	2.91429953360489	2.89143152971834	2.88097550367553	2.49705703597809	2.95996106614991	2.98314030040549	2.87114323260239	2.45256117108271	2.69500364388273	2.36672633617579	3.16791426330835	2.77451026918669	3.46431764178155	3.51854093836717	2.96835967663149	3.17083582899375
"Anaerocolumna cellulosilytica"	2.84436701734146	2.58989702648412	3.11887757220842	2.85675812475617	2.50070220722599	2.71643452076113	2.88215554336188	2.81844311574726	2.85987716265888	2.37257895424612	2.87508854033379	2.82100831323421	2.79866110341746	2.42718287200725	2.57754614161062	2.2630768198086	2.97442057326267	2.58433260081539	3.22747536145335	3.35502262825284	2.90050043774446	3.07800769235234
"Anaerobutyricum hallii"	3.49817187632233	2.99103449677602	3.37465654301886	3.32185241571041	2.85522595149162	3.33587326597398	3.64969441708781	3.52130937886943	3.65760797516096	2.74929939688813	3.70021918863892	3.64207294284919	3.52371653215012	2.9535567999561	3.09657347388888	2.79351491144763	3.29213664025454	2.93886190901895	4.04307345637076	3.53169845616238	3.14114979303569	3.54072678367648
"Butyrivibrio fibrisolvens"	2.78753840342013	2.5255530206259	3.22860181529571	2.95523695451427	2.66520931319178	3.11149576304063	3.25431449371354	3.06898114300651	3.34824408524487	2.60056669802635	3.3462759279581	3.40030841466096	3.36283125363564	2.37149099489756	2.49104687254331	2.56224516262897	2.87581812770609	2.53891360323367	3.26783168532813	3.15604838448433	2.70426999719226	3.09030133830139
"Butyrivibrio proteoclasticus"	2.6658896691675	2.41517007668525	3.075257430671	2.88540976590786	2.54376277786483	2.91682070429109	3.04449612309718	2.92378806440985	3.04570389324279	2.4233130913132	3.07076779919371	3.11605389787206	3.08438071038128	2.3546635025429	2.53840149757432	2.10976423521416	2.89836742489126	2.59381166096479	3.00579805965571	3.28091131330213	2.7105845697561	3.06919027671696
"Butyrivibrio hungatei"	2.50107505864179	2.22768085889247	2.91704114825691	2.67323674272929	2.35888716225645	2.8402750437968	3.06468169055109	2.86913248323265	3.19068154608781	2.28562443140699	3.11225578333292	3.16505550444943	3.08106918175909	2.35121832378229	2.41083960506742	1.94385756200286	2.77424777453609	2.44549536183137	2.6784576947012	2.80654505542639	2.52450323250315	3.01505160440151
"Novisyntrophococcus fermenticellae"	3.26459627301503	2.83888099645798	3.42153665073991	3.30220227552531	2.98182912721167	3.20604315707722	3.42342457172495	3.36851036035011	3.41734642918478	2.82266180002062	3.4397186229639	3.40877303072334	3.43370474585354	2.88438040706286	2.97443912058113	2.65715584273879	3.35221798203838	3.02259578729718	3.65035093600378	3.70033950422322	3.3328045135572	3.38688987166481
"Lachnospira eligens"	2.66831746130086	2.69807392011516	3.27592989395822	2.95270003718355	2.4708956833708	2.63241920858377	2.89205098197245	2.90023382076992	2.91631734451258	2.21709301105585	3.07699990626014	2.9213920901831	2.8627702986973	3.40391073165833	2.39845394483497	2.59163318198063	2.97361792101938	2.71494096471127	3.45584944983349	3.48523456557624	3.53676863298282	3.43522413189225
"Cellulosilyticum lentocellum"	3.47031152109594	2.1323411939372	3.4762195418375	3.44039417818386	2.42441925103208	0	0	1.73362496087249	1.84402417747479	0	1.87234760907617	1.96086942591623	1.7617003436234	2.01248486628053	2.55373263041485	3.41834475215571	3.63984302662092	3.42196292214721	3.29723804051174	0	1.78034292978741	3.6023134220653
"Cellulosilyticum sp. WCF-2"	3.29708526858456	2.01610768117563	3.2613479777669	3.00309132398875	2.20593624899633	0	0	1.8457136534048	1.60562593060845	0	1.70232471896321	0	1.58669920142513	2.36483803281386	2.51433964835095	3.09260443567808	3.2187485495538	3.09602267772382	2.96905853104094	0	1.81689402432206	3.23615533702315
