"F1-10"	"F1-11"	"F1-12"	"F1-13"	"F1-14"	"F1-15"	"F1-16"	"F1-17"	"F1-18"	"F1-19"	"F1-20"	"F1-21"	"F1-22"	"F1-7"	"F1-8"	"F1-9"	"F3-10"	"F3-11"	"F3-12"	"F3-7"	"F3-8"	"F3-9"
"Bacteroides cellulosilyticus"	109	29	107	69	64	52	20	20	31	83	377	214	163	0	94	15	78	48	0	0	18	39
"Bacteroides caccae"	170	51	208	121	243	136	22	32	75	5552	6532	4495	4524	90	60	65	58	31	0	0	21	18
"Bacteroides zhangwenhongii"	57	38	81	73	138	80	28	25	54	225	356	346	307	0	55	54	104	13	36	12	26	29
"Bacteroides faecis"	168	130	438	256	348	67	31	30	78	32	101	92	63	76	146	125	0	21	0	0	34	25
"Bacteroides helcogenes"	21	12	38	31	24	25	0	0	0	167	1190	932	727	0	31	0	20	15	13	16	20	18
"Bacteroides caecimuris"	46	22	98	68	83	19	0	22	20	89	238	130	123	20	28	27	43	13	15	0	0	11
"Bacteroides intestinalis"	13	20	44	34	30	34	0	0	0	0	25	16	21	0	78	0	23	12	0	0	0	16
"Bacteroides luhongzhouii"	52	47	161	88	103	27	21	19	41	0	62	14	43	24	23	50	54	0	0	0	0	12
"Bacteroides zoogleoformans"	16	0	18	20	0	20	0	0	23	0	72	22	58	0	16	0	0	0	0	0	0	0
"Bacteroides heparinolyticus"	37	0	21	23	27	0	0	0	0	0	19	11	17	0	36	0	38	31	0	0	0	39
"Phocaeicola dorei"	1136	713	2396	1180	1882	427	210	227	625	13366	19506	5519	12080	330	650	428	118	74	14	14	65	34
"Phocaeicola vulgatus"	523	486	1594	1114	1854	419	106	194	477	4949	10182	7581	8431	289	621	458	53	50	0	0	71	28
"Phocaeicola coprophilus"	145	65	322	178	275	148	45	43	79	125	470	209	313	48	174	67	68	38	0	0	42	71
"Phocaeicola salanitronis"	71	61	106	93	103	99	35	37	45	109	302	297	334	20	69	0	32	44	12	0	37	41
"Parabacteroides distasonis"	3795	2115	4958	3445	4799	2891	774	1087	2010	641207	2962687	1901799	2163253	1777	1039	3120	3107	3165	669	559	2758	2333
"Parabacteroides goldsteinii"	213	135	322	103	236	46	84	30	68	776	2987	1881	2016	35	78	220	588	61	25	93	56	169
"Parabacteroides johnsonii"	95	122	251	206	224	86	35	38	86	115	251	209	167	35	133	65	10	24	0	0	14	29
"Parabacteroides merdae"	68	25	138	39	39	69	0	16	49	512	2442	1646	1523	0	81	25	50	44	11	0	19	23
"Tannerella forsythia"	95	53	272	130	258	43	22	27	53	23	59	27	60	47	143	56	12	15	0	0	0	18
"Prevotella dentalis"	53	0	77	66	44	66	0	31	21	21	45	33	36	0	137	0	60	119	51	0	20	42
"Prevotella fusca"	48	0	91	77	35	74	0	0	0	0	39	13	27	0	43	0	23	0	37	27	66	20
"Prevotella bryantii"	32	0	53	29	29	160	30	24	63	25	174	88	198	0	29	0	19	12	0	0	29	22
"Prevotella copri"	30	26	71	62	38	100	0	15	24	17	64	45	35	31	30	20	32	24	0	0	0	16
"Prevotella melaninogenica"	48	37	104	62	78	15	0	0	40	39	273	233	129	50	30	38	58	79	26	0	63	19
"Prevotella ruminicola"	11	0	0	19	20	30	21	26	48	27	204	54	124	0	22	10	21	24	0	0	14	11
"Prevotella intermedia"	51	45	148	96	122	56	0	0	36	43	64	56	56	24	50	36	19	32	0	0	0	0
"Prevotella denticola"	28	0	35	35	15	21	0	17	15	18	122	108	44	20	40	14	29	15	0	0	76	26
"Prevotella nigrescens"	0	0	22	0	24	0	0	0	0	31	151	91	93	0	0	0	0	0	0	0	0	0
"Pseudoprevotella muciniphila"	51	0	47	65	31	17	0	0	10	0	57	14	35	0	44	0	25	23	57	24	29	28
"Paraprevotella xylaniphila"	46	18	45	65	96	53	0	12	19	90	402	197	272	12	41	13	16	20	0	0	11	0
"Muribaculum intestinale"	288	190	675	408	625	123	58	63	171	255	1520	1019	1063	88	411	166	32	18	0	0	0	42
"Muribaculum gordoncarteri"	10	0	37	31	37	24	0	14	0	16	179	97	95	13	13	11	20	21	0	0	0	39
"Duncaniella dubosii"	21	0	36	55	45	44	0	0	15	24	60	43	53	0	31	0	22	18	0	0	16	0
"Sodaliphilus pleomorphus"	64	51	150	89	129	28	18	15	40	40	89	54	58	19	52	37	14	27	0	0	0	12
"Barnesiella viscericola"	104	15	165	119	95	81	0	15	28	39	84	53	59	12	124	23	40	66	93	55	112	43
"Coprobacter secundus"	153	190	462	252	333	101	29	44	119	444	520	438	589	96	208	123	13	0	0	0	0	0
"Butyricimonas virosa"	30	14	56	26	31	43	26	28	38	0	71	48	30	0	67	28	110	49	0	11	0	28
"Butyricimonas faecalis"	35	0	99	103	37	71	0	0	0	142	242	145	176	13	109	19	43	20	0	0	0	74
"Odoribacter splanchnicus"	52	33	43	61	38	53	13	0	15	65	214	160	121	13	217	14	63	42	13	12	27	94
"Porphyromonas somerae"	36	14	87	35	25	86	17	19	86	121	305	206	288	17	22	14	0	0	0	0	0	0
"Porphyromonas gingivalis"	14	0	30	26	19	45	10	0	33	83	183	176	180	0	58	0	24	68	0	0	19	14
"Cruoricaptor ignavus"	0	0	22	26	27	120	28	30	127	21	269	140	330	0	0	0	14	0	0	0	21	0
"Blattabacterium cuenoti"	95	10	45	24	11	12	0	11	17	0	57	15	50	33	24	32	22	33	0	0	35	48
"Sphingobacterium spiritivorum"	79	21	25	53	60	143	50	51	142	46	299	165	252	16	41	21	34	0	0	0	33	30
"Chitinophaga sp. XS-30"	66	18	94	106	67	59	19	35	26	30	127	80	112	0	113	0	44	53	109	0	65	68
"Treponema peruense"	72	16	46	63	61	186	80	89	270	37	496	386	357	0	41	18	50	49	43	0	64	50
"Treponema parvum"	78	13	135	138	47	234	18	23	85	67	210	99	187	0	100	0	81	66	123	45	68	60
"Treponema denticola"	75	27	76	82	65	220	114	111	359	73	816	493	491	25	137	18	78	96	12	0	47	59
"Treponema azotonutricium"	100	28	150	127	72	74	0	37	24	51	80	58	98	0	147	11	123	117	70	24	84	82
"Treponema primitia"	57	23	99	134	65	134	30	36	98	69	201	156	205	19	214	33	95	141	59	29	42	47
"Treponema brennaborense"	62	10	141	82	66	118	19	33	55	37	164	90	151	0	58	28	65	46	22	11	52	59
"Treponema vincentii"	45	38	96	63	41	78	18	16	67	22	144	79	116	22	78	0	33	42	34	10	66	87
"Sphaerochaeta pleomorpha"	91	19	179	148	81	136	16	32	44	36	128	122	98	12	70	0	67	37	127	52	106	63
"Sphaerochaeta globosa"	123	22	156	102	87	70	30	37	53	47	114	111	76	16	152	52	60	70	53	22	77	76
"Sphaerochaeta associata"	70	0	55	79	26	60	14	27	55	50	111	46	110	0	39	17	26	53	11	37	52	24
"Breznakiella homolactica"	158	65	395	382	188	252	40	52	89	108	246	197	152	46	206	103	173	196	196	42	118	137
"Fusobacterium ulcerans"	170	46	153	44	60	60	24	21	28	48	110	29	55	64	81	51	86	79	13	0	37	63
"Fusobacterium nucleatum"	213	32	171	79	63	55	34	50	92	16	235	112	132	67	85	54	83	47	30	0	42	95
"Fusobacterium varium"	65	0	41	24	17	13	0	16	26	0	67	18	30	26	24	18	20	25	0	0	0	16
"Fusobacterium pseudoperiodonticum"	67	0	85	0	30	43	0	0	0	22	36	0	0	26	31	18	0	66	0	0	37	0
"Pyramidobacter piscolens"	182	25	360	225	247	278	52	47	60	138	273	142	211	20	383	33	381	450	25	45	98	237
"Cloacibacillus porcorum"	105	22	142	145	90	233	33	49	117	165	255	199	337	20	160	33	148	186	46	0	26	101
"Fretibacterium fastidiosum"	94	20	108	116	53	153	26	16	58	101	216	74	204	13	175	12	181	254	43	0	17	74
"Aminomonas paucivorans"	24	17	119	122	75	126	19	27	32	45	71	75	66	21	162	39	70	194	0	0	27	46
"Fusarium pseudograminearum"	929	46	79	255	831	175	58	42	49	92	602	103	458	125	28	187	855	538	63	0	258	278
"Fusarium venenatum"	148	0	28	54	93	54	15	0	21	0	232	57	138	31	43	31	100	46	0	0	24	36
"Fusarium poae"	151	0	19	42	100	56	14	0	14	0	119	39	69	17	27	38	86	50	19	0	42	37
"Pochonia chlamydosporia"	179	21	65	115	109	119	19	16	55	64	196	93	91	14	57	38	97	118	10	0	24	63
"Ustilaginoidea virens"	1067	21	67	278	1077	235	59	77	55	82	579	105	549	121	28	225	1096	707	76	0	276	324
"Purpureocillium takamizusanense"	95	13	33	97	93	111	13	11	34	29	157	16	79	21	36	24	94	57	0	0	42	26
"Colletotrichum higginsianum"	342	19	42	95	254	97	28	28	51	54	222	77	139	43	85	98	399	261	27	0	96	77
"Thermothelomyces thermophilus"	146	0	56	75	62	32	13	0	17	26	85	26	81	11	46	16	71	34	0	0	49	25
"Neurospora crassa"	140	12	61	56	75	91	25	30	64	33	176	78	118	15	61	26	95	73	21	0	25	23
"Botrytis cinerea"	251	0	36	32	111	30	13	13	13	0	172	10	69	31	26	38	99	56	0	0	36	29
"Kluyveromyces marxianus"	144	0	10	0	30	13	0	0	0	0	84	0	0	10	0	11	104	35	0	0	0	24
"Cryptococcus neoformans"	209	29	73	136	79	152	20	11	72	65	274	150	228	14	74	71	116	112	12	0	11	47
"Psilocybe cubensis"	138	12	26	61	104	48	18	20	0	11	135	16	73	18	28	20	71	50	0	0	32	38
"Puccinia striiformis"	104	0	26	44	55	75	16	12	41	14	153	65	103	16	26	29	74	40	0	0	37	18
"Plasmodium malariae"	202	11	55	43	117	24	16	18	11	15	161	12	48	19	21	31	99	57	14	0	57	31
"Plasmodium vivax"	170	15	23	69	126	71	17	15	16	18	171	21	80	49	42	50	144	54	12	0	72	57
"Plasmodium knowlesi"	78	0	13	17	31	0	0	0	0	0	66	0	21	0	25	13	29	14	0	0	34	19
"Neospora caninum"	147	13	37	69	68	77	19	15	23	0	98	20	59	12	39	19	89	53	11	0	31	40
"Besnoitia besnoiti"	172	0	64	73	70	60	21	20	18	35	122	38	114	12	100	34	109	112	55	0	41	68
"Toxoplasma gondii"	278	0	39	74	156	45	20	0	27	13	207	23	63	40	63	20	186	96	0	0	71	45
"Leishmania mexicana"	1970	18	85	212	901	152	96	99	28	28	1163	114	321	167	52	257	986	421	24	0	213	166
"Leishmania major"	454	14	29	113	411	158	37	50	31	29	282	38	190	43	79	85	328	201	0	18	88	101
"Leishmania infantum"	267	0	69	101	248	34	38	34	0	0	169	0	98	20	0	31	162	75	0	0	57	36
"Leishmania donovani"	338	0	0	86	208	60	0	0	0	0	139	0	109	31	0	43	169	108	0	0	38	55
"Leishmania panamensis"	396	0	26	64	225	45	20	22	15	0	168	31	73	38	0	50	187	115	0	0	52	43
"Enterobacter cloacae complex sp."	59	193	188	128	435	0	0	0	0	0	0	0	0	189	101	739	0	0	0	0	0	0
"Fusarium musae"	60	20	26	27	45	0	0	0	0	0	40	0	29	12	0	0	75	45	0	0	38	0
"Parabacteroides sp. CT06"	125	0	225	59	73	0	0	0	68	838	4828	2466	2852	0	0	0	0	0	0	0	0	0
"Bacteroides sp. HF-162"	0	0	223	0	241	0	0	0	0	9501	34537	22669	27850	0	0	0	132	0	0	0	0	0
"Bacteroides sp. ZJ-18"	0	0	0	0	0	0	0	0	0	205	886	249	312	0	0	0	0	0	0	0	0	0
