"F1-10"	"F1-11"	"F1-12"	"F1-13"	"F1-14"	"F1-15"	"F1-16"	"F1-17"	"F1-18"	"F1-19"	"F1-20"	"F1-21"	"F1-22"	"F1-7"	"F1-8"	"F1-9"	"F3-10"	"F3-11"	"F3-12"	"F3-7"	"F3-8"	"F3-9"
"Clostridium sp. C5S11"	808	326	442	101	115	70	58	63	62	0	135	23	66	1198	206	734	88	172	32	17	241	141
"Clostridium sp. BJN0001"	641	276	350	58	72	42	46	75	102	0	122	76	59	1007	116	492	64	111	54	0	177	67
"Clostridium sp. BNL1100"	198	54	204	122	115	69	40	67	139	39	238	155	174	47	88	69	63	61	73	16	89	51
"Clostridium sp. JN-9"	268	44	264	49	72	64	37	73	102	26	217	122	233	200	77	80	47	87	19	0	75	84
"Clostridium sp. JN-1"	274	40	285	103	257	45	12	22	21	0	78	45	32	117	68	155	47	61	0	0	27	56
"Clostridium sp. 001"	184	23	99	41	74	71	35	35	73	30	157	67	163	107	58	69	52	54	15	0	78	81
"Clostridium sp. AWRP"	155	24	78	23	39	74	38	26	74	0	203	84	123	81	65	48	70	48	0	0	28	38
"Clostridium sp. MF28"	1243	2118	575	667	330	112	140	168	195	0	0	0	0	4596	200	2231	0	214	0	0	864	0
"Clostridium perfringens"	5897	1510	2931	768	681	477	366	646	635	82	881	412	505	5673	1314	4752	563	1263	185	347	1567	705
"Clostridium cadaveris"	1361	357	947	447	361	537	259	433	588	125	797	353	494	1256	640	1013	484	693	618	137	1494	845
"Clostridium botulinum"	4083	1206	2499	1069	1132	489	229	301	419	59	750	311	471	4326	1032	3043	503	986	192	147	1141	652
"Clostridium argentinense"	1121	74	2378	661	2077	81	41	26	49	0	48	15	48	369	451	505	176	244	16	0	57	147
"Clostridium baratii"	2795	1132	1180	241	251	99	137	136	125	12	51	20	26	4259	510	2368	222	396	60	44	668	327
"Clostridium butyricum"	1677	847	934	303	221	127	100	150	183	25	296	114	99	2794	401	1544	179	325	95	41	585	351
"Clostridium kluyveri"	435	98	537	347	385	162	71	115	146	39	423	160	183	183	245	200	154	180	109	53	249	157
"Clostridium gasigenes"	1294	379	858	255	741	64	75	61	60	0	93	45	32	1424	375	986	154	269	24	20	216	156
"Clostridium bornimense"	835	128	914	290	751	68	55	110	92	0	63	23	66	592	181	533	191	277	65	18	93	127
"Clostridium beijerinckii"	1920	394	1390	389	867	291	157	218	217	40	442	253	424	1869	408	1466	338	504	111	91	844	359
"Clostridium pasteurianum"	644	112	839	303	751	143	63	71	157	27	295	182	273	419	235	377	115	176	50	0	147	117
"Clostridium septicum"	1599	467	677	159	153	35	64	61	64	0	35	14	19	1824	340	1264	176	243	48	13	391	170
"Clostridium manihotivorum"	888	168	564	180	299	79	36	43	51	23	150	33	95	696	234	702	99	159	70	39	186	128
"Clostridium chauvoei"	1724	249	556	168	429	88	50	51	65	0	63	38	46	1277	387	1427	132	363	13	36	244	192
"Clostridium thermarum"	388	87	577	273	371	249	72	70	188	38	418	286	408	250	171	214	95	174	43	23	110	117
"Clostridium taeniosporum"	825	224	461	110	297	18	47	68	56	0	168	34	43	1197	230	510	70	134	0	0	173	100
"Clostridium saccharoperbutylacetonicum"	847	256	525	110	101	48	37	39	26	23	97	25	68	1038	229	504	85	162	54	18	210	127
"Clostridium cellulovorans"	485	74	593	156	492	94	33	60	84	26	193	83	190	213	150	263	95	139	20	0	90	77
"Clostridium intestinale"	854	266	494	131	135	49	25	41	34	0	58	18	40	1128	170	549	86	153	37	13	199	127
"Clostridium saccharobutylicum"	774	163	419	72	72	20	36	40	45	0	83	21	42	896	134	504	66	187	24	0	134	71
"Clostridium estertheticum"	498	94	615	207	489	40	32	28	55	0	192	48	84	304	116	222	111	123	28	0	86	75
"Clostridium isatidis"	1064	178	364	47	118	21	37	26	20	0	52	0	22	796	260	1207	96	169	15	12	239	114
"Clostridium sporogenes"	2966	560	2860	851	1583	129	163	191	242	84	389	198	176	2187	995	2106	658	789	114	0	457	598
"Clostridium novyi"	464	82	488	67	96	18	20	15	21	0	33	17	23	349	84	328	65	154	16	0	89	136
"Clostridium scatologenes"	236	30	287	178	122	69	22	0	36	33	156	38	112	104	68	90	48	43	37	18	78	51
"Clostridium fermenticellae"	276	129	222	73	65	55	10	27	47	0	68	18	22	401	85	214	65	59	0	0	118	29
"Clostridium tetani"	400	165	270	96	52	39	30	35	35	0	42	0	50	424	94	268	50	84	0	18	112	59
"Clostridium aceticum"	118	26	117	46	64	61	29	32	73	24	192	100	104	68	64	59	48	51	13	0	25	74
"Clostridium tyrobutyricum"	158	25	234	63	122	38	10	26	28	15	61	23	20	118	61	76	47	52	0	0	38	56
"Clostridium formicaceticum"	81	21	97	40	45	53	23	24	56	19	142	58	50	24	59	52	33	47	21	0	0	55
"Clostridium acetobutylicum"	309	44	178	46	84	15	18	11	0	0	30	12	20	226	69	255	37	109	14	0	49	62
"Clostridium carboxidivorans"	227	50	221	44	72	18	0	15	22	22	79	25	36	139	66	118	40	60	0	0	43	48
"Clostridium drakei"	187	0	170	52	92	32	0	31	21	0	74	19	20	37	54	91	48	46	0	0	34	34
"Clostridium cochlearium"	220	31	159	15	26	0	0	0	0	0	0	0	0	124	37	92	31	45	0	0	12	31
"Clostridium diolis"	428	0	283	0	624	97	0	0	0	0	160	98	0	0	276	504	276	0	0	0	0	201
"Hungatella hathewayi"	16869	2479	24849	25664	11988	18573	6487	196483	17437	9771	28190	14454	19522	1456	13354	2843	8953	7539	21779	9194	17817	8349
"Alkaliphilus oremlandii"	97	32	101	70	64	57	11	30	79	12	151	41	71	13	51	23	53	66	25	0	14	55
"Alkaliphilus sp. B6464"	155	27	192	93	58	37	10	17	38	0	79	36	52	91	44	49	48	50	25	0	26	19
"Alkaliphilus metalliredigens"	79	15	82	49	45	24	0	19	13	11	44	16	37	30	62	47	42	54	11	18	35	51
"Geosporobacter ferrireducens"	197	66	283	156	112	176	47	51	123	91	321	176	262	79	245	87	128	124	67	36	100	139
"Crassaminicella profunda"	163	23	155	40	22	40	14	16	12	0	110	37	56	53	58	91	28	72	33	0	30	38
"Crassaminicella sp. 143-21"	126	20	129	32	18	99	40	33	112	19	224	146	164	44	62	81	33	54	0	0	62	53
"Crassaminicella thermophila"	148	46	174	38	42	23	21	21	41	0	103	47	53	86	40	127	28	64	23	0	17	49
"Hathewaya histolytica"	372	44	407	80	140	22	0	19	12	0	31	19	23	121	102	140	67	93	16	0	26	44
"Paraclostridium bifermentans"	333	55	214	29	64	0	15	15	18	0	35	16	18	224	88	155	45	80	31	0	40	65
"Sarcina sp. JB2"	662	95	231	62	71	17	18	18	24	0	58	13	28	367	170	592	66	125	0	0	139	74
"Serpentinicella alkaliphila"	86	18	153	61	59	59	13	18	29	0	52	33	65	45	97	37	41	56	14	0	76	60
"Caloramator sp. E03"	74	25	127	51	44	72	32	35	62	19	138	84	112	59	34	69	23	56	0	0	20	42
"Candidatus Arthromitus sp. SFB-rat-Yit"	122	20	51	0	26	0	0	0	52	0	120	49	76	74	26	67	31	45	0	0	28	19
"Clostridioides difficile"	86273	6353	34746	15560	8497	12689	5601	6875	13242	2982	65667	8914	10773	10377	16633	14126	12887	19815	5501	2312	19181	15361
"Clostridioides sp. ES-S-0054-01"	250	42	176	102	109	87	51	44	15	0	121	72	154	245	60	172	46	48	0	0	48	66
"Terrisporobacter sp. MCA3"	2335	38	306	151	83	80	16	21	19	23	75	23	42	154	227	121	160	223	106	44	97	379
"Romboutsia sp. CE17"	335	35	269	26	35	0	0	0	0	0	14	0	20	125	88	199	75	169	21	0	24	116
"Romboutsia ilealis"	239	27	135	21	36	15	0	12	22	0	88	18	45	122	51	75	50	79	0	0	38	72
"Romboutsia hominis"	216	22	139	33	26	0	0	0	10	0	23	0	15	60	82	119	19	68	0	0	11	53
"Peptoclostridium acidaminophilum"	135	48	86	118	77	73	34	68	132	26	275	87	189	44	142	37	94	120	37	39	122	80
"Peptacetobacter hiranonis"	250	33	231	68	83	31	14	37	62	15	144	46	62	67	129	123	65	113	21	0	76	129
"Paeniclostridium sordellii"	352	49	211	72	110	45	16	13	11	0	58	15	21	204	84	157	67	83	21	24	83	110
"Tepidibacter sp. 8C15b"	135	32	179	72	63	27	13	13	19	15	74	15	44	67	57	48	34	72	19	0	24	41
"Filifactor alocis"	138	21	74	121	32	13	0	17	22	0	42	0	33	10	103	110	134	149	16	0	49	129
"Emergencia timonensis"	12516	3623	38044	56694	102394	5187	218	375	482	6134	64896	18781	4387	15489	7520	679	12943	4288	5629	161	1093	6301
"Aminipila luticellarii"	258	76	492	470	296	283	91	163	228	115	272	234	235	59	710	93	350	418	165	82	230	425
"Aminipila butyrica"	260	80	434	375	221	338	56	79	146	82	460	277	287	29	258	51	223	193	163	93	221	182
"Aminipila terrae"	127	33	250	148	120	134	48	68	111	58	275	163	200	39	119	78	114	124	84	37	98	87
"Mogibacterium pumilum"	156	0	19	41	40	121	50	44	142	22	250	128	271	0	44	47	27	41	0	13	36	44
"Mogibacterium diversum"	49	40	90	57	28	20	0	16	18	18	87	24	42	37	81	24	58	41	0	0	46	61
"Flintibacter sp. KGMB00164"	1508	232	2392	2888	1659	6374	515	1011	1247	1285	2368	1514	2874	151	70149	253	21778	63348	1154	142	541	2281
"Massilistercora timonensis"	2790	773	4906	4975	1709	5714	921	1416	2262	1846	5240	3493	4416	529	5297	774	4047	4398	1626	735	3012	3482
"Intestinimonas butyriciproducens"	1637	578	2736	2348	1874	3169	486	864	1408	1927	3381	1896	2986	361	13305	505	7351	14928	1226	191	614	5614
"Carboxydocella thermautotrophica"	76	25	114	84	75	73	28	31	41	31	112	74	69	14	103	26	87	98	17	12	49	59
"Eubacterium sp. NSJ-61"	2521	440	1151	1111	742	1232	267	557	1078	368	2049	775	1572	750	1792	1114	945	1018	5800	126	1245	1846
"Eubacterium sp. c-25"	1848	811	2529	1907	1270	2072	791	1255	1925	672	3227	2020	2599	552	3729	497	1842	1651	840	298	2038	2015
"Eubacterium sp. MSJ-33"	304	113	583	519	334	931	244	247	703	131	1747	948	1117	64	538	87	327	311	110	50	234	604
"Eubacterium maltosivorans"	2088	856	1610	2983	1301	3854	935	2969	601	851	7356	1845	1747	122	17160	179	2271	5499	119	1204	3285	695
"Eubacterium limosum"	1223	168	1549	1256	624	1223	247	385	720	435	1221	906	1117	186	782	491	769	875	478	193	773	726
"Eubacterium callanderi"	476	119	651	678	567	570	59	106	221	259	607	296	496	88	473	82	467	504	3050	112	211	335
"Acetobacterium woodii"	100	38	111	102	116	147	49	47	94	43	223	97	231	0	117	43	135	118	23	69	86	123
"Acetobacterium sp. KB-1"	106	20	106	90	89	88	21	20	29	37	123	70	86	19	233	29	155	149	40	33	63	134
"Alkalibacter sp. ES005"	131	18	217	226	82	268	36	55	102	68	155	130	179	0	294	33	117	160	61	37	64	107
"Desulfitobacterium hafniense"	259	68	466	385	211	591	117	124	312	118	742	398	600	41	219	71	189	228	104	28	223	192
"Desulfitobacterium dehalogenans"	104	21	230	199	117	103	28	62	71	53	160	119	157	24	88	68	66	117	61	17	86	71
"Desulfitobacterium dichloroeliminans"	112	28	204	182	116	107	17	49	43	18	95	91	57	24	130	47	101	110	0	0	37	99
"Dehalobacter restrictus"	562	32	225	245	173	297	138	176	487	43	493	140	281	15	222	148	35	216	140	56	189	180
"Desulfosporosinus orientis"	153	24	144	206	102	99	32	31	60	22	186	80	117	0	105	45	108	106	27	37	169	95
"Desulfosporosinus acidiphilus"	92	30	98	92	44	207	34	45	139	34	216	162	198	14	145	38	75	149	14	0	36	88
"Desulfosporosinus youngiae"	107	16	148	128	83	127	27	29	48	30	241	72	164	13	109	18	63	90	54	17	42	66
"Desulfosporosinus meridiei"	58	10	64	78	35	44	14	19	43	0	50	21	39	11	30	0	39	24	0	0	18	49
"Syntrophobotulus glycolicus"	66	18	70	106	71	90	24	31	63	24	136	91	106	0	270	18	128	234	0	0	30	121
"Desulforamulus ferrireducens"	85	23	204	228	98	118	13	33	30	42	88	85	68	0	150	27	84	74	105	15	76	55
"Desulforamulus ruminis"	128	24	225	188	62	207	27	29	100	59	172	124	154	11	128	35	132	173	96	27	70	106
"Desulforamulus reducens"	83	27	72	59	62	35	30	25	46	28	114	82	46	30	95	28	86	132	0	0	10	55
"Candidatus Formimonas warabiya"	188	47	302	263	155	275	45	83	108	71	259	136	152	39	167	60	106	89	137	76	204	99
"Dehalobacterium formicoaceticum"	125	46	237	239	128	109	39	48	73	52	125	91	102	48	113	56	148	163	102	54	176	123
"Acididesulfobacillus acetoxydans"	135	24	59	111	93	109	54	54	121	38	164	106	151	0	98	48	66	119	11	27	64	70
"Thermanaerosceptrum fracticalcis"	80	19	114	104	70	168	20	34	50	41	110	52	79	0	138	18	125	112	22	0	29	68
"Candidatus Desulforudis audaxviator"	18	0	32	44	12	167	40	20	133	53	260	125	257	0	86	0	79	117	0	19	22	26
"Christensenella sp. Marseille-P3954"	508	61	569	486	291	926	241	368	926	449	1118	604	1211	42	3908	82	890	1269	124	44	253	461
"Christensenella minuta"	324	126	440	343	208	318	126	114	233	152	599	302	448	87	593	96	329	377	301	53	202	315
"Vallitalea pronyensis"	300	36	323	205	101	219	69	61	187	62	460	235	348	40	148	195	164	200	98	22	71	155
"Vallitalea guaymasensis"	290	68	275	140	120	153	38	58	120	24	239	113	229	39	135	160	103	148	61	11	94	142
"Petrocella atlantisensis"	355	62	545	513	295	267	74	95	227	57	458	269	341	42	266	215	321	281	92	17	89	236
