"BulkRAG1"	"BulkRAG2"	"BulkRAG3"	"BulkTP1"	"BulkTP2"	"BulkTP3"	"RAG1"	"RAG10"	"RAG12"	"RAG2"	"RAG3"	"RAG4"	"RAG5"	"RAG6"	"RAG7"	"RAG8"	"RTP1"	"RTP10"	"RTP11"	"RTP12"	"RTP2"	"RTP3"	"RTP4"	"RTP5"	"RTP6"	"RTP7"	"RTP9"
"Citricoccus"	0	0	0	2.85220923866166	2.73754544622443	0	0	0	0	0	0	0	0	0	0	0	2.9633459199022	0	0	2.86920097595568	0	2.95699512472877	2.9002433364984	0	2.83657947679562	0	2.96312822265399
"Clostridium_sensu_stricto_10"	0	0	0	0	0	0	0.40102534348396	2.61212927760745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Clostridium_sensu_stricto_5"	0	2.70495760439517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Clostridium_sensu_stricto_8"	0	0	0	0	0	0	0	0	0	2.43100659025778	0	0	0	0	0	0	0	0	2.92365551293579	3.05528481497604	0	2.8618808625607	0	0	0	2.8774758926264	3.04307074470791
"Cohnella"	2.77395969294716	2.68844431988597	2.72205029883099	0	0	0	0	2.57361944565586	0	2.54412171859285	2.60008538440696	2.57899860094699	2.69965216732364	0	2.76733856106162	0	2.46623585560929	2.69514532739427	0	0	2.72416369759925	0	0	0	0	0	0
"Conexibacter"	3.73814319082797	3.45676694165505	0	2.80565835549774	0	0	3.39451564049899	3.67915904619417	3.5325394059813	3.60757082065782	0	3.65684177770245	0	0	3.61327659271304	0	0	0	0	0	0	0	3.0222993365599	0	3.02124069181887	0	0
"Coxiella"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.09566010148771	0	0	0	0	0	0	0	0	0	0	0	0
"Crossiella"	2.79454026664332	2.45870190800847	0	0	0	0	2.51699778296437	2.66216379534376	0	2.70554573190896	2.59500879429763	2.58242276135431	2.70065431402674	2.85003345084227	2.80860502785531	0	0	0	0	0	0	0	0	0	0	0	0
"Cupriavidus"	0	0	0	0	0	0	0	0	0	2.86812377329555	0	0	0	2.97050593758769	0	0	0	0	0	2.57340984767903	0	0	0	2.77935654268701	0	0	0
"Cytophaga"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.56396709228894	0	0
"Dactylosporangium"	2.92073867332011	0	0	0	0	0	1.9782037099707	0	2.71004382157338	0	0	0	0	0	2.60839761507302	0	0	0	0	0	0	0	0	0	0	0	0
"Deinococcus"	0	0	0	1.04730616642081	0	0	0	0	0	0	0	0	0	2.00627380070256	0	0	1.60640182580549	1.93590320257347	1.88271238694769	1.87166610017473	0	1.43169784860543	1.58613991585207	1.57128023299511	1.49356613195277	0	2.1283108521693
"Desulfosporosinus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.77545791182692	0	0	0	0	0	0	0	0	0
"Dokdonella"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.37934252840818	0	0
"Dongia"	0	0	0	2.60827275679809	2.54145161978499	0	0	0	0	0	2.41390860649939	0	0	0	2.39797986932061	0	2.33194394305063	0	0	0	0	0	0	0	0	0	0
"Dyadobacter"	0	0	0	0	0	0	1.54593813781839	1.31148116381027	0	2.3085729509936	1.90960054476723	2.06105504959317	0	2.80051453223612	0	2.6305258328427	0	1.75964584537532	1.54706396266657	1.78991877030247	1.29614296999906	0	0	0	1.81271949432839	0	1.85382443269268
"Dyella"	0	0	0	0	0	0	0	0	0	0	2.39138042557132	2.31998510003638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ellin6067"	0	2.57569202063562	0	0	0	0	2.82924830214414	2.69307756923281	0	2.7763134348368	2.81213524545844	2.75585343729861	2.79638870054613	0	2.99146899296904	0	0	0	0	0	0	0	0	0	0	0	0
"Ensifer"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.78584794979297	0	0	0	0
"Fictibacillus"	2.67395966066177	2.80185831093342	2.96103048657324	2.97016320628978	2.89185397038103	2.49013811087381	2.84507190961295	2.55964673667567	2.81635798806891	2.60932156006627	2.84253543174599	2.85919769424717	2.84853358915035	2.22421547989058	2.85693144733445	2.33795567078968	2.91201969310262	3.02335822954155	2.96799968442199	3.0183623578396	2.88518874870378	2.88514184052761	2.93380396449063	3.00705175446236	2.94769897048544	2.96557740270519	2.98140271263555
"Fimbriimonas"	0	0	0	0	0	0	0	0	0	0	0	0	0	1.75061540136615	0	0	0	0	0	0	0	0	0	0	0	0	0
"Flaviaesturariibacter"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.34837361436666	0	0	0	0	0	0	0	0	0	0	0
"Flavisolibacter"	3.01032505775193	2.84324761187136	0	0	0	0	3.00349332961588	3.14502479895748	3.12167311147058	2.77255029774797	2.85952625305715	3.08017417243213	3.04460434673225	2.22913072259056	2.95445623623671	0	0	0	2.6907846939767	0	0	2.68068171814341	2.63643067353622	0	2.43084578317143	2.67809405962064	0
"Flavitalea"	0	0	0	0	0	0	2.61364358635506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Flavobacterium"	0	0	0	2.28464820531832	2.19013245159801	2.66310219461797	0	0	0	0	0	0	0	1.9090730516078	0	1.93239703636639	2.4000232423969	2.41145445784432	2.38556830921073	2.40885003877329	2.20855118120647	2.39479721119375	2.34508640452392	2.27819241195364	2.25334989215347	2.33658003348973	2.28327775251432
