"BulkRAG1"	"BulkRAG2"	"BulkRAG3"	"BulkTP1"	"BulkTP2"	"BulkTP3"	"RAG1"	"RAG10"	"RAG12"	"RAG2"	"RAG3"	"RAG4"	"RAG5"	"RAG6"	"RAG7"	"RAG8"	"RTP1"	"RTP10"	"RTP11"	"RTP12"	"RTP2"	"RTP3"	"RTP4"	"RTP5"	"RTP6"	"RTP7"	"RTP9"
"Kaistia"	0	0	2	0	0	0	5	12	2	2	3	4	4	0	0	0	0	9	1	2	3	0	0	2	0	0	0
"Kallotenue"	152	321	188	4	3	0	473	426	286	381	424	389	371	71	387	137	6	5	0	7	3	0	3	11	0	3	6
"Kitasatospora"	5	19	6	5	16	9	16	6	0	10	12	9	5	1	11	3	9	19	14	13	14	4	4	11	8	12	11
"Knoellia"	0	9	6	6	3	6	2	7	0	3	2	5	0	1	2	2	2	2	3	4	2	4	3	0	4	2	7
"Kofleria"	106	149	69	208	188	171	202	203	198	263	213	240	252	36	276	76	215	194	172	149	185	189	185	191	192	172	228
"Krasilnikovia"	8	9	8	6	4	0	11	10	11	9	11	8	6	2	7	6	4	2	6	4	4	2	5	3	4	2	7
"Kribbella"	135	81	47	248	231	207	64	70	36	54	82	64	65	7	55	33	221	235	231	186	176	165	156	195	183	217	232
"Ktedonobacter"	389	824	364	85	111	82	807	728	720	596	732	766	682	132	982	284	113	121	97	83	112	161	98	122	137	153	145
"Kurthia"	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	2	1	0	2	0	3	3	1	0	6	3
"Kutzneria"	7	17	6	0	0	0	11	11	0	9	16	7	4	0	9	1	0	0	0	0	0	0	0	0	0	0	0
"Labilithrix"	220	161	102	110	97	78	233	188	189	197	230	230	208	39	214	71	139	117	160	82	112	142	123	131	124	113	121
"Labrys"	15	29	16	38	35	39	76	72	30	62	69	69	55	19	34	29	33	40	34	28	35	27	24	38	29	29	35
"Lacibacterium"	6	8	3	32	35	35	17	19	50	0	16	19	20	7	0	0	18	27	26	18	21	14	23	28	12	20	20
"Larkinella"	4	4	7	0	0	0	2	12	3	5	15	14	0	7	0	5	0	0	2	0	0	0	0	0	0	0	0
"Latescibacteria_genera_incertae_sedis"	9	10	0	97	129	99	9	7	4	8	6	10	3	2	9	5	71	87	90	60	106	72	63	80	80	93	75
"Legionella"	6	8	8	32	42	26	16	41	42	30	38	33	34	7	51	12	49	66	42	41	54	73	54	52	69	58	53
"Leifsonia"	8	12	19	0	0	0	12	11	4	9	23	8	9	1	10	4	0	0	0	0	0	0	0	0	0	0	0
"Litorilinea"	3	2	2	32	34	32	3	7	8	9	7	6	5	0	5	0	47	50	56	39	44	37	34	40	38	45	35
"Longispora"	0	0	0	4	4	2	5	0	0	0	0	0	0	0	0	0	1	3	0	2	0	1	0	1	4	0	2
"Luedemannella"	0	0	0	3	4	0	2	0	0	0	0	0	2	0	3	0	3	1	2	2	4	2	0	1	2	4	3
