"C1.sm.bam"	"C2.sm.bam"	"C3.sm.bam"	"C4.sm.bam"	"C5.sm.bam"	"T1.sm.bam"	"T2.sm.bam"	"T3.sm.bam"	"T4.sm.bam"	"T5.sm.bam"
"Solyc01g005300.2"	0	0	0	0	0	1	0	0	0	0
"Solyc01g005310.2"	73	122	83	147	85	38	4	28	23	61
"Solyc01g005330.2"	1	0	0	0	0	0	0	0	0	0
"Solyc01g005360.2"	5	3	4	5	6	3	7	1	4	19
"Solyc01g005370.2"	2	3	4	6	1	4	3	1	2	4
"Solyc01g005390.2"	49	80	46	66	49	59	123	66	68	141
"Solyc01g005400.2"	2	1	0	1	0	2	1	0	0	1
"Solyc01g005430.2"	4804	4914	3806	7377	4074	3561	451	4020	2539	4249
"Solyc01g005450.2"	1	1	1	0	3	1	0	1	0	2
"Solyc01g005480.2"	0	1	1	1	0	0	0	0	0	0
"Solyc01g005490.2"	44	33	27	40	30	32	14	34	22	48
"Solyc01g005500.2"	1	1	1	1	1	1	6	2	0	1
"Solyc01g005510.2"	129503	168565	136085	237969	170814	82954	22149	95272	51663	129041
"Solyc01g005520.2"	0	0	0	0	1	0	1	0	0	1
"Solyc01g005540.2"	2	0	0	0	0	0	0	0	0	0
"Solyc01g005560.2"	13	4	2	15	4	5	4	6	4	7
"Solyc01g005570.2"	0	2	1	0	1	2	1	0	0	0
"Solyc01g005580.2"	5	5	1	4	2	4	0	4	2	4
"Solyc01g005590.2"	0	1	1	0	0	1	0	0	2	0
"Solyc01g005600.2"	146	167	81	202	171	151	75	128	93	164
"Solyc01g005610.2"	96	52	35	213	108	28	46	45	42	51
"Solyc01g005620.2"	72	65	47	116	65	46	21	21	19	43
"Solyc01g005650.1"	0	0	1	0	0	0	0	0	0	0
"Solyc01g005680.2"	1	0	0	0	0	0	1	0	0	0
"Solyc01g005700.2"	1	0	0	0	0	0	0	0	0	0
"Solyc01g005730.2"	2	0	0	0	1	0	0	0	0	0
"Solyc01g005740.2"	2	0	0	0	0	0	3	1	0	0
"Solyc01g005770.2"	1	0	0	0	1	0	0	0	0	0
"Solyc01g005790.1"	0	2	0	2	1	0	0	0	0	0
"Solyc01g005800.2"	21	22	16	42	23	16	0	5	4	11
"Solyc01g005810.2"	0	0	2	0	0	1	0	1	0	1
"Solyc01g005820.2"	8	14	9	19	16	11	2	7	10	12
"Solyc01g005840.2"	8	7	6	7	4	2	0	4	6	5
"Solyc01g005900.2"	1	1	0	4	1	3	0	0	1	2
"Solyc01g005930.2"	1	0	0	0	0	0	0	0	0	0
"Solyc01g005940.2"	1	0	0	0	0	2	0	0	0	0
"Solyc01g005950.2"	212	219	122	253	130	187	23	96	72	109
"Solyc01g005960.2"	1115	1558	917	1796	1312	838	192	660	438	1064
"Solyc01g005970.2"	1	1	0	1	0	2	0	0	2	0
"Solyc01g006000.2"	6	3	2	13	7	3	2	6	4	3
"Solyc01g006010.2"	0	0	0	1	1	0	0	0	0	0
"Solyc01g006030.2"	0	1	0	1	0	0	0	0	0	0
"Solyc01g006040.2"	0	1	1	2	1	0	0	0	0	0
"Solyc01g006090.2"	0	0	0	1	0	0	0	0	0	0
"Solyc01g006100.2"	13	14	10	21	18	9	5	4	1	2
"Solyc01g006110.2"	28	29	14	29	30	19	3	9	4	19
"Solyc01g006120.2"	61	119	50	104	55	37	8	23	24	34
